strength,win_rate,exp_decay_percentile,score,n_windows,mean_excess
10.0,59.7575283535393,50.36865016496624,55.06308925925277,2557,2.350520773373669
12.0,60.031286664059444,50.06639461063989,55.04884063734967,2557,2.200020773545136
8.0,59.366445052796244,50.306803171156915,54.836624111976576,2557,2.5915454111062175
7.0,59.131795072350414,49.93807227810258,54.5349336752265,2557,2.7051811208111984
6.0,58.81892843175597,49.214082475935214,54.016505453845596,2557,2.8223243062190186
4.0,59.60109503324208,46.30655725583434,52.95382614453821,2557,3.538160889452291
5.0,57.76300351974971,48.049884248895566,52.90644388432264,2557,3.1003405576221734
3.0,61.40007821666015,44.34288979396215,52.871484005311146,2557,3.343748251997081
2.0,57.95854517012123,42.23318701378202,50.09586609195163,2557,1.9240260907429185
1.5,56.3551036370747,41.16309658635765,48.75910011171618,2557,1.1718521223321405
1.0,54.82987876417676,40.111033172510844,47.4704559683438,2557,0.5200549213040725
0.5,53.461087211576064,39.100496840337854,46.280792025956956,2557,0.09509352088310048
